               id,               time,              pH, temp,      lat,      lon,water_depth,sensor_depth
SF32_2013_2014_EV,2013-12-03 04:00:01,8.00514004332063,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-03 08:00:01,8.01075304163558,-1.09,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-03 12:00:01,8.00195624336219,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-03 16:00:01,8.00629087481377,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-03 20:00:01,8.02299958237496,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 00:00:01,8.01390426595307,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 04:00:01, 8.0043643719464,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 08:00:01,8.01692368871634,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 12:00:01,8.00286634556723,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 16:00:01, 8.0022550738556,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-04 20:00:01, 8.0071452475486,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 00:00:01,8.00469780513498,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 04:00:01,8.01001637225473,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 08:00:01,8.01377864126149,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 12:00:01,8.00320217703812,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 16:00:01,8.00279225202642,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-05 20:00:01,8.00621907828856,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 00:00:01,8.01714787555702,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 04:00:01,8.01212803816761,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 08:00:01,8.00929396023189,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 12:00:01,8.00677250053061,-1.08,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 16:00:01,8.00705489955732,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-06 20:00:01,8.00246126886135,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 00:00:01,8.00647840568138,-1.07,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 04:00:01,8.01187080270631,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 08:00:01,8.00257240508786,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 12:00:01,8.00933319220088,-1.06,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 16:00:01,8.00594815634608,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-07 20:00:01,8.00811515347781,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 00:00:01,8.01450501681496,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 04:00:01,8.00900198081247,-1.05,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 08:00:01,8.01161358615244,-1.05,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 12:00:01,8.02232102356359,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 16:00:01,8.01241210505526,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-08 20:00:01,8.01309739474649,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 00:00:01,8.02154312715733,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 04:00:01,8.01024510792353,-1.04,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 08:00:01,8.31491215535459,-1.03,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 12:00:01,8.01565529270281,-1.03,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 16:00:01,8.01478482157119,-1.03,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-09 20:00:01,8.02202811891768,-1.02,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 00:00:01, 8.0169536439063,-1.02,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 04:00:01,8.01258705865665,   -1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 08:00:01,8.01081140138227,-0.99,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 12:00:01,8.01490386619944,-0.99,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 16:00:01,8.02633099539927,-0.98,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-10 20:00:01,8.01549644029061,-0.99,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 00:00:01,8.01531126088712,-0.99,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 04:00:01,8.03871683257801,   -1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 08:00:01, 8.0142537345269,   -1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 12:00:01,8.01277224486445,   -1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 16:00:01,8.02260563249893,   -1,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-11 20:00:01,8.02268140114608,-0.99,-77.63422,166.41467,         28,          18
SF32_2013_2014_EV,2013-12-12 00:00:01,8.01362612831535,-0.99,-77.63422,166.41467,         28,          18
